email,owner_email,property_id,start_date,end_date,duration
'pskelhornedd@addthis.com','dspicern@oracle.com',28464683,'2023-03-09 11:45:07','2023-04-08 11:45:07',30
'jmullender35@yellowbook.com','ibettley2f@redcross.org',16996937,'2022-12-13 21:13:46','2023-01-11 21:13:46',29
'pjedrasik7@diigo.com','trosberg82@go.com',6259515,'2022-04-24 13:58:56','2022-05-07 13:58:56',13
'rbamburyax@webmd.com','wcayle5v@unicef.org',19841620,'2021-10-01 08:55:32','2021-10-05 08:55:32',4
'nhankey48@huffingtonpost.com','bgarrals59@google.ru',18377405,'2023-03-05 17:28:54','2023-03-20 17:28:54',15
'hchristophersen2u@nasa.gov','wrimbault2s@ucla.edu',2483060,'2021-06-01 05:24:55','2021-06-20 05:24:55',19
'mmcchruiter73@walmart.com','cpentland4s@japanpost.jp',8703254,'2021-03-12 13:36:11','2021-03-21 13:36:11',9
'aalster57@squidoo.com','ladie8a@sciencedirect.com',35292514,'2021-08-17 18:57:15','2021-09-10 18:57:15',24
'esidry5c@thetimes.co.uk','wrimbault2s@ucla.edu',2483060,'2022-06-27 15:32:40','2022-07-09 15:32:40',12
'groubeix36@posterous.com','moakly38@friendfeed.com',19487368,'2022-11-30 18:35:04','2022-12-21 18:35:04',21
'ddupreybq@pcworld.com','ladie8a@sciencedirect.com',35292514,'2023-03-03 09:28:45','2023-03-06 09:28:45',3
'knavein4v@weather.com','alevett65@wufoo.com',28781817,'2021-04-13 17:46:39','2021-04-26 17:46:39',13
'cstribbling6q@nydailynews.com','skalberer7y@com.com',29190854,'2021-12-23 23:42:41','2022-01-11 23:42:41',19
'jbellenger2d@odnoklassniki.ru','skalberer7y@com.com',29190854,'2022-10-26 04:43:25','2022-11-15 04:43:25',20
'jsconce28@pbs.org','nbruckner9v@marketwatch.com',29490549,'2021-03-24 04:39:22','2021-04-23 04:39:22',30
'tacreman70@photobucket.com','esatyford3o@studiopress.com',7258715,'2021-03-25 14:10:53','2021-04-19 14:10:53',25
'ckerrey92@mysql.com','eradolf9p@wsj.com',27091191,'2021-02-27 23:33:05','2021-03-27 23:33:05',28
'usunter46@sciencedaily.com','cpentland4s@japanpost.jp',8703254,'2022-10-30 18:13:53','2022-11-14 18:13:53',15
'lgaymerc9@jalbum.net','cwhitticks8g@nba.com',30798616,'2021-01-17 09:50:57','2021-01-26 09:50:57',9
'lmcphillimey8v@gmpg.org','kkaaskoopercm@redcross.org',26668940,'2022-04-07 01:17:21','2022-05-01 01:17:21',24
'nboldra8i@boston.com','amatthensen9i@topsy.com',14787858,'2021-05-05 04:43:54','2021-05-20 04:43:54',15
'dschade3h@seattletimes.com','esatyford3o@studiopress.com',7258715,'2021-04-01 04:38:22','2021-04-13 04:38:22',12
'shuzzeyb7@globo.com','alevett65@wufoo.com',28781817,'2022-08-16 02:26:30','2022-09-07 02:26:30',22
'aperree43@redcross.org','kkaaskoopercm@redcross.org',26668940,'2022-03-19 06:35:30','2022-04-07 06:35:30',19
'mregelous7n@java.com','ladie8a@sciencedirect.com',33945505,'2022-01-05 00:57:26','2022-01-14 00:57:26',9
'ghadigate91@cmu.edu','jcourtliff5e@about.me',21385722,'2022-04-04 18:41:25','2022-04-13 18:41:25',9
'agrandin8p@discuz.net','ckerrey92@mysql.com',1487384,'2022-04-30 22:00:45','2022-05-25 22:00:45',25
'vpeytoco@princeton.edu','mkennawayk@squarespace.com',28226672,'2023-02-13 23:56:28','2023-02-16 23:56:28',3
'snobbs69@wikia.com','irama8x@diigo.com',15360613,'2022-03-06 06:43:29','2022-03-25 06:43:29',19
'rroycroftdg@yale.edu','afeaster9f@biglobe.ne.jp',7093081,'2022-12-14 15:55:49','2022-12-16 15:55:49',2
'bcumine6x@smh.com.au','aizac7i@yandex.ru',26196827,'2021-08-04 04:00:16','2021-08-10 04:00:16',6
'mpach7o@youtu.be','skalberer7y@com.com',20501555,'2021-11-27 21:46:17','2021-12-12 21:46:17',15
'jmcminnc2@redcross.org','dlidgeycd@youtube.com',37569194,'2021-02-03 02:13:39','2021-02-20 02:13:39',17
'akoppen75@hud.gov','afeaster9f@biglobe.ne.jp',7093081,'2022-02-15 00:47:38','2022-03-09 00:47:38',22
'lmarklin5x@reddit.com','bhansard8n@vkontakte.ru',35379842,'2022-04-12 05:03:10','2022-05-11 05:03:10',29
'chavilebh@bing.com','ibettley2f@redcross.org',13138198,'2022-12-14 08:47:41','2022-12-30 08:47:41',16
'amcaviy25@seesaa.net','mdiviney4i@artisteer.com',10540937,'2022-05-15 22:15:15','2022-05-21 22:15:15',6
'dpaddle3a@eepurl.com','jmusso60@cnn.com',11744574,'2021-01-31 02:56:31','2021-02-01 02:56:31',1
'rjeannequin1l@skyrock.com','jcourtliff5e@about.me',21385722,'2023-02-03 05:18:28','2023-02-18 05:18:28',15
'raldham2b@yale.edu','wrimbault2s@ucla.edu',1285153,'2022-11-22 07:56:56','2022-12-15 07:56:56',23
'nchessil4m@desdev.cn','hbudik9c@cafepress.com',20800162,'2023-02-28 02:12:11','2023-03-15 02:12:11',15
'daubray9a@columbia.edu','ladie8a@sciencedirect.com',33054932,'2021-06-12 04:34:36','2021-07-01 04:34:36',19
'dradmoret@umn.edu','poregan6w@shop-pro.jp',32382313,'2021-01-30 03:14:25','2021-02-25 03:14:25',26
'tkluss3b@4shared.com','pskelhornedd@addthis.com',14538883,'2023-01-05 20:45:57','2023-01-10 20:45:57',5
'hplackstone1o@ezinearticles.com','irama8x@diigo.com',15360613,'2022-02-06 04:18:54','2022-02-28 04:18:54',22
'ceisak1r@toplist.cz','ibettley2f@redcross.org',14930018,'2021-09-18 04:04:45','2021-09-22 04:04:45',4
'vpiel7f@zdnet.com','irama8x@diigo.com',15360613,'2022-09-25 00:04:08','2022-10-20 00:04:08',25
'fgailor6v@imdb.com','jfeckey3l@intel.com',18595182,'2021-04-20 12:55:46','2021-05-20 12:55:46',30
'mescritt5s@yelp.com','skalberer7y@com.com',20501555,'2022-07-28 03:44:38','2022-08-20 03:44:38',23
'aduns39@yale.edu','ibettley2f@redcross.org',15630984,'2022-06-26 15:51:11','2022-07-10 15:51:11',14
'fgailor6v@imdb.com','abruntjedp@slideshare.net',36806367,'2021-07-25 20:58:43','2021-08-13 20:58:43',19
'ddurling5q@tinyurl.com','kdevil61@yahoo.com',30371494,'2021-08-26 04:54:59','2021-09-11 04:54:59',16
'csahlstrom2o@kickstarter.com','khumbles78@istockphoto.com',8322587,'2021-08-13 11:12:42','2021-09-01 11:12:42',19
'cramsellcl@trellian.com','eradolf9p@wsj.com',27091191,'2021-06-18 05:52:25','2021-06-27 05:52:25',9
'hharradenceaj@go.com','jmusso60@cnn.com',11744574,'2022-07-13 21:07:31','2022-07-22 21:07:31',9
'dradmoret@umn.edu','dmackinder7h@miitbeian.gov.cn',33784572,'2022-03-24 14:52:15','2022-04-01 14:52:15',8
'mbritner3t@cocolog-nifty.com','sharrill42@google.es',24804922,'2022-10-15 06:31:24','2022-11-02 06:31:24',18
'vpiel7f@zdnet.com','acarbine3u@example.com',1003174,'2022-08-15 09:42:27','2022-09-02 09:42:27',18
'vstolleni@berkeley.edu','hbudik9c@cafepress.com',20800162,'2021-02-08 20:06:12','2021-02-13 20:06:12',5
'cmcmonniesdv@addthis.com','rberickct@msu.edu',2165083,'2022-04-18 03:20:01','2022-04-30 03:20:01',12
'lfonzo6e@clickbank.net','ibettley2f@redcross.org',26329883,'2023-03-03 14:10:48','2023-03-09 14:10:48',6
'krustan7r@yahoo.co.jp','dbalogdk@wiley.com',21561955,'2021-07-06 02:24:37','2021-07-07 02:24:37',1
'nottewellbm@nih.gov','alevett65@wufoo.com',28781817,'2022-10-29 18:38:18','2022-11-08 18:38:18',10
'ddudmesh5h@wufoo.com','moakly38@friendfeed.com',26630989,'2022-03-04 12:29:58','2022-04-01 12:29:58',28
'djaycocksbz@un.org','khumbles78@istockphoto.com',8322587,'2021-02-25 08:38:40','2021-02-26 08:38:40',1
'rhorsey7l@yahoo.co.jp','bcottesfordz@taobao.com',12210444,'2021-12-26 11:17:42','2022-01-22 11:17:42',27
'elandsberga7@google.ru','irama8x@diigo.com',15360613,'2023-01-01 13:23:27','2023-01-20 13:23:27',19
'ahaldenbyv@amazon.co.uk','moakly38@friendfeed.com',19487368,'2022-07-09 23:46:24','2022-07-25 23:46:24',16
'sharrill42@google.es','cwhitticks8g@nba.com',30798616,'2022-10-24 18:53:53','2022-10-26 18:53:53',2
